term_en,term_zh,context,note
Path,路径,通用,"泛指 Channel、Stem、Aux、Master 等控制台路径"
Channel,通道,通用,指输入通道时可译为“输入通道”
Bus,母线,通用,行业通用译法
VCA,VCA,通用,首次出现可说明为压控放大器组
Showfile,演出文件,工程,SSL 工程文件
Save,保存,界面,"按钮名保留英文；正文常译作保存"
Save As,另存为,界面,"按钮名保留英文；正文可按语境写保存为"
Notes,备注,界面,"字段名或说明区常译作备注"
Edit Mode,编辑模式,界面,"界面标签保留英文；正文统一译为编辑模式"
Edit,编辑,界面,"作为界面按钮或功能名时可保留英文；正文可译为编辑"
Console Configuration,控制台配置,章节标题,"菜单标签保留英文；正文推荐译法"
Detail View,详细视图,界面,"页面名或功能名保留英文；正文统一译为详细视图"
Quick Controls,快速控制,界面,"按钮/页面名保留英文；正文统一译为快速控制"
PEQ,PEQ,功能,"参数均衡器缩写，通常保留英文"
context,上下文,通用,"评论中常用于说明语境判断"
Focus,Focus,界面,"按钮/模式名保留英文"
Focus Fader,Focus 推子,界面,"保留 Focus 作为界面名"
Main,Main,界面,"按钮/模式名保留英文"
Main Fader,Main 推子,界面,"保留 Main 作为界面名"
Post All,Post All,界面,"处理点标签保留英文；正文可写全处理后"
Post Fader,Post Fader,界面,"处理点标签保留英文；正文可写推子后"
Post Trim,Post Trim,界面,"处理点标签保留英文；正文可写微调后"
Dry Path,干路径,信号,
Scene,场景,自动化,自动化系统中的快照或场景
Tile,区块,操作面,"指 Fader、Master、Control、Remote Tile"
Fader Tile,推子区块,操作面,
Master Tile,主控区块,操作面,
Control Tile,控制区块,操作面,
Remote Tile,远程推子区块,硬件,
Remote Console,远程控制台,硬件,
resource bars,资源条,界面,"路径联动等相关页面术语"
Signal Switcher,信号切换器,功能,
Recalibrate All,重新校准全部,功能,"按钮名/操作名可保留英文"
Stagebox Owner,Stagebox 所有者,功能,"按语境可写无所有者等更自然表达"
Stagebox,舞台接口箱,I/O,标题中可附英文
Surface,操作面,硬件,指实体控制台表面
Console,控制台,硬件,
Routing,路由,信号,
Route,进行路由,信号,
Make,建立,界面,按钮名保留英文
Unmake,取消路由,界面,按钮名保留英文
Spill,展开,界面,按钮名保留英文
Query,查询,功能,按钮名保留英文
Solo,独奏,功能,按钮和模式名称保留英文
Talkback,对讲,功能,
Mute,静音,功能,
Preset,预设,功能,
Stem,Stem 编组母线,信号,界面名称保留 Stem
Aux,Aux 辅助母线,信号,界面名称保留 Aux
Matrix,矩阵,信号,
Insert,插入点,信号,
Send,发送,信号,
Return,返回,信号,
Gain,增益,参数,
Trim,微调,参数,
Processing,处理,信号,
Store,存储,自动化,
Recall,调用,自动化,
Automation,自动化,自动化,
Snapshot,快照,自动化,
User Key,用户按键,界面,
Follow Detail,Follow Detail,模式,"模式名或按钮名保留英文；可按语境补中文"
Sourcerer,Sourcerer,FX,"产品名保留英文；正文可写主声源隔离器"
Broad Band,Broad Band,FX,模式标签保留英文
Band Split,Band Split,FX,模式标签保留英文
Polarity,相位翻转,参数,"界面可写 Polarity（相位翻转）"
HPF,HPF,参数,"界面可写 HPF（高通滤波器）"
Pad,Pad,界面,按钮/硬件名保留英文
Transmit,Transmit,信号,"Dante 语境下常译为发送"
Dante Expander,Dante 扩展模块,Dante,保留英文功能名
BLII&X-Light Bridge,BLII&X-Light Bridge,Dante,桥接设备名保留英文
Connectivity,Connectivity,网络,"设备/拓扑语境保留英文"
gain slider,增益滑块,界面,"屏幕滑块，不是 fader 推子"
encoder,旋钮,硬件,"屏幕编码器或实体编码器按语境译为旋钮"
contribution,相关发送/贡献,功能,"按上下文判断，不直译为贡献"
Patch,跳线 / 分配,信号,Patch Manager 统一译为“跳线管理器”
Clocking,时钟设置,系统,
Sample Rate,采样率,系统,
Wordclock,字时钟,系统,
Dante Virtual Tie Line,Dante 虚拟跳线,Dante,缩写 VTL 保留
Dante Dual Domain Route,Dante 双域路由,Dante,Dante 网络语境
Offline Software,离线软件,软件,
Dante Primary, Dante 主网, Dante,
Dante Secondary, Dante 备网, Dante,
monitor mixes, 监听混音/监听母线, 信号, 分情况 如果谓语是处理 调整等 翻译成监听混音 如果是linking verb 或者动词 route 翻译成监听母线
Useful Links,实用链接,章节标题,"所有页面统一使用“实用链接”"
Layer,推子层,操作面,仅引用界面原文时候保留英文
Bank,推子组,操作面,仅引用界面原文时候保留英文
User Layer,自定义推子层,操作面,仅引用界面原文时候保留英文
Layer Manager,推子层管理器,操作面,仅章节名和引用界面原文时候保留英文
